Lon,Lat,Elev,ampli47
6.075,47.6,0,0.94
6.075,47.625,0,0.47
6.075,47.65,0,0.47
6.075,47.675,0,0.96
6.075,47.7,0,0.94
6.075,47.725,0,0.94
6.075,47.75,0,0.88
6.075,47.775,0,0.94
6.075,47.8,0,0.47
6.1,45.8,0,0.47
6.1,45.825,0,0.47
6.1,45.85,0,0.47
6.1,45.875,0,0.86
6.1,45.9,0,0.86
6.1,45.925,0,0.94
6.1,45.95,0,0.86
6.1,45.975,0,1.05
6.1,46,0,1.11
6.1,46.025,0,1.05
6.1,46.05,0,0.47
6.1,46.075,0,0.86
6.1,46.1,0,0.86
6.1,46.125,0,0.86
6.1,46.15,0,0.86
6.1,46.175,0,0.94
6.1,46.2,0,0.86
6.1,46.225,0,0.86
6.1,46.25,0,0.86
6.1,46.275,0,0.86
6.1,46.3,0,0.86
6.1,46.325,0,0.86
6.1,46.35,0,0.86
6.1,46.375,0,0.96
6.1,46.4,0,0.96
6.1,46.425,0,0.96
6.1,46.45,0,1.11
6.1,46.475,0,0.96
6.1,46.5,0,0.86
6.1,46.525,0,0.96
6.1,46.55,0,0.96
6.1,46.575,0,0.96
6.1,46.6,0,0.96
6.1,46.625,0,0.96
6.1,46.65,0,0.96
6.1,46.675,0,0.96
6.1,46.7,0,0.96
6.1,46.725,0,0.47
6.1,46.75,0,0.47
6.1,46.775,0,0.47
6.1,46.8,0,0.47
6.1,46.825,0,0.47
6.1,46.85,0,0.96
6.1,46.875,0,0.96
6.1,46.9,0,0.96
6.1,46.925,0,0.96
6.1,46.95,0,0.96
6.1,46.975,0,0.96
6.1,47,0,0.96
6.1,47.025,0,0.96
6.1,47.05,0,0.96
6.1,47.075,0,0.96
6.1,47.1,0,0.96
6.1,47.125,0,0.96
6.1,47.15,0,0.47
6.1,47.175,0,0.47
6.1,47.2,0,0.96
6.1,47.225,0,0.47
6.1,47.25,0,0.47
6.1,47.275,0,0.96
6.1,47.3,0,0.96
6.1,47.325,0,0.47
6.1,47.35,0,0.47
6.1,47.375,0,0.88
6.1,47.4,0,0.96
6.1,47.425,0,0.96
6.1,47.45,0,0.96
6.1,47.475,0,0.96
6.1,47.5,0,0.96
6.1,47.525,0,0.94
6.1,47.55,0,0.94
6.1,47.575,0,0.94
6.1,47.6,0,0.94
6.1,47.625,0,0.94
6.1,47.65,0,0.47
6.1,47.675,0,0.47
6.1,47.7,0,0.47
6.1,47.725,0,0.94
6.1,47.75,0,0.94
6.1,47.775,0,0.47
6.1,47.8,0,0.47
6.125,45.8,0,0.47
6.125,45.825,0,0.47
6.125,45.85,0,0.47
6.125,45.875,0,0.47
6.125,45.9,0,0.94
6.125,45.925,0,0.53
6.125,45.95,0,0.86
6.125,45.975,0,1.05
6.125,46,0,1.05
6.125,46.025,0,1.05
6.125,46.05,0,1.05
6.125,46.075,0,1.11
6.125,46.1,0,0.86
6.125,46.125,0,0.86
6.125,46.15,0,0.86
6.125,46.175,0,0.94
6.125,46.2,0,0.88
6.125,46.225,0,0.86
6.125,46.25,0,0.94
6.125,46.275,0,0.86
6.125,46.3,0,0.86
6.125,46.325,0,0.86
6.125,46.35,0,1.11
6.125,46.375,0,0.86
6.125,46.4,0,0.86
6.125,46.425,0,0.96
6.125,46.45,0,0.96
6.125,46.475,0,0.96
6.125,46.5,0,0.96
6.125,46.525,0,0.86
6.125,46.55,0,0.96
6.125,46.575,0,0.96
6.125,46.6,0,0.86
6.125,46.625,0,0.96
6.125,46.65,0,0.96
6.125,46.675,0,1.11
6.125,46.7,0,0.96
6.125,46.725,0,0.96
6.125,46.75,0,0.96
6.125,46.775,0,0.96
6.125,46.8,0,0.47
6.125,46.825,0,0.47
6.125,46.85,0,0.96
6.125,46.875,0,0.96
6.125,46.9,0,0.96
6.125,46.925,0,0.96
6.125,46.95,0,0.96
6.125,46.975,0,0.96
6.125,47,0,0.47
6.125,47.025,0,0.96
6.125,47.05,0,0.96
6.125,47.075,0,0.96
6.125,47.1,0,0.96
6.125,47.125,0,0.47
6.125,47.15,0,0.96
6.125,47.175,0,0.47
6.125,47.2,0,0.96
6.125,47.225,0,0.96
6.125,47.25,0,0.47
6.125,47.275,0,0.96
6.125,47.3,0,0.96
6.125,47.325,0,0.47
6.125,47.35,0,0.47
6.125,47.375,0,1.11
6.125,47.4,0,0.96
6.125,47.425,0,0.96
6.125,47.45,0,0.96
6.125,47.475,0,0.96
6.125,47.5,0,0.94
6.125,47.525,0,0.94
6.125,47.55,0,0.94
6.125,47.575,0,0.94
6.125,47.6,0,0.94
6.125,47.625,0,0.88
6.125,47.65,0,0.47
6.125,47.675,0,0.47
6.125,47.7,0,0.47
6.125,47.725,0,0.47
6.125,47.75,0,1.22
6.125,47.775,0,0.88
6.125,47.8,0,0.94
6.15,45.8,0,0.53
6.15,45.825,0,0.56
6.15,45.85,0,0.56
6.15,45.875,0,0.47
6.15,45.9,0,0.47
6.15,45.925,0,0.57
6.15,45.95,0,0.53
6.15,45.975,0,1.05
6.15,46,0,1.05
6.15,46.025,0,1.05
6.15,46.05,0,1.05
6.15,46.075,0,1.05
6.15,46.1,0,1.11
6.15,46.125,0,0.86
6.15,46.15,0,0.86
6.15,46.175,0,0.94
6.15,46.2,0,0.94
6.15,46.225,0,0.94
6.15,46.25,0,0.88
6.15,46.275,0,0.86
6.15,46.3,0,0.86
6.15,46.325,0,0.86
6.15,46.35,0,0.88
6.15,46.375,0,0.86
6.15,46.4,0,0.94
6.15,46.425,0,0.86
6.15,46.45,0,0.96
6.15,46.475,0,1.11
6.15,46.5,0,0.96
6.15,46.525,0,0.96
6.15,46.55,0,0.86
6.15,46.575,0,0.96
6.15,46.6,0,0.96
6.15,46.625,0,0.96
6.15,46.65,0,0.96
6.15,46.675,0,1.11
6.15,46.7,0,0.96
6.15,46.725,0,0.96
6.15,46.75,0,0.96
6.15,46.775,0,0.96
6.15,46.8,0,0.47
6.15,46.825,0,0.47
6.15,46.85,0,0.96
6.15,46.875,0,0.96
6.15,46.9,0,0.96
6.15,46.925,0,0.96
6.15,46.95,0,0.96
6.15,46.975,0,0.96
6.15,47,0,0.47
6.15,47.025,0,0.96
6.15,47.05,0,0.96
6.15,47.075,0,0.96
6.15,47.1,0,0.96
6.15,47.125,0,0.96
6.15,47.15,0,0.96
6.15,47.175,0,0.96
6.15,47.2,0,0.96
6.15,47.225,0,0.96
6.15,47.25,0,0.96
6.15,47.275,0,0.96
6.15,47.3,0,0.96
6.15,47.325,0,0.96
6.15,47.35,0,0.47
6.15,47.375,0,0.96
6.15,47.4,0,0.88
6.15,47.425,0,0.96
6.15,47.45,0,0.96
6.15,47.475,0,0.88
6.15,47.5,0,0.94
6.15,47.525,0,0.94
6.15,47.55,0,0.94
6.15,47.575,0,0.94
6.15,47.6,0,0.94
6.15,47.625,0,0.47
6.15,47.65,0,0.47
6.15,47.675,0,0.47
6.15,47.7,0,0.47
6.15,47.725,0,0.47
6.15,47.75,0,1.22
6.15,47.775,0,1.21
6.15,47.8,0,0.47
6.175,45.8,0,0.47
6.175,45.825,0,0.53
6.175,45.85,0,0.47
6.175,45.875,0,0.47
6.175,45.9,0,0.47
6.175,45.925,0,0.47
6.175,45.95,0,0.57
6.175,45.975,0,0.53
6.175,46,0,0.57
6.175,46.025,0,0.86
6.175,46.05,0,0.86
6.175,46.075,0,1.05
6.175,46.1,0,1.11
6.175,46.125,0,1.11
6.175,46.15,0,0.93
6.175,46.175,0,0.86
6.175,46.2,0,0.94
6.175,46.225,0,0.47
6.175,46.25,0,0.47
6.175,46.275,0,0.47
6.175,46.3,0,0.88
6.175,46.325,0,0.86
6.175,46.35,0,0.86
6.175,46.375,0,0.86
6.175,46.4,0,0.86
6.175,46.425,0,0.86
6.175,46.45,0,0.86
6.175,46.475,0,0.96
6.175,46.5,0,0.96
6.175,46.525,0,0.96
6.175,46.55,0,1.11
6.175,46.575,0,0.96
6.175,46.6,0,0.96
6.175,46.625,0,0.96
6.175,46.65,0,0.96
6.175,46.675,0,0.96
6.175,46.7,0,0.96
6.175,46.725,0,1.11
6.175,46.75,0,0.96
6.175,46.775,0,0.96
6.175,46.8,0,0.47
6.175,46.825,0,0.47
6.175,46.85,0,0.47
6.175,46.875,0,0.96
6.175,46.9,0,0.96
6.175,46.925,0,0.96
6.175,46.95,0,0.96
6.175,46.975,0,0.96
6.175,47,0,0.47
6.175,47.025,0,0.96
6.175,47.05,0,0.96
6.175,47.075,0,0.96
6.175,47.1,0,0.96
6.175,47.125,0,0.96
6.175,47.15,0,0.96
6.175,47.175,0,0.96
6.175,47.2,0,0.96
6.175,47.225,0,0.96
6.175,47.25,0,0.96
6.175,47.275,0,0.47
6.175,47.3,0,0.47
6.175,47.325,0,0.96
6.175,47.35,0,0.96
6.175,47.375,0,0.47
6.175,47.4,0,0.88
6.175,47.425,0,0.96
6.175,47.45,0,0.96
6.175,47.475,0,0.96
6.175,47.5,0,0.94
6.175,47.525,0,0.94
6.175,47.55,0,0.94
6.175,47.575,0,0.94
6.175,47.6,0,0.94
6.175,47.625,0,0.47
6.175,47.65,0,0.47
6.175,47.675,0,0.47
6.175,47.7,0,0.47
6.175,47.725,0,0.47
6.175,47.75,0,1.22
6.175,47.775,0,1.21
6.175,47.8,0,0.94
6.2,45.8,0,0.47
6.2,45.825,0,0.56
6.2,45.85,0,0.47
6.2,45.875,0,0.47
6.2,45.9,0,0.47
6.2,45.925,0,0.16
6.2,45.95,0,0.47
6.2,45.975,0,0.53
6.2,46,0,0.53
6.2,46.025,0,0.53
6.2,46.05,0,0.57
6.2,46.075,0,0.86
6.2,46.1,0,0.86
6.2,46.125,0,1.05
6.2,46.15,0,1.11
6.2,46.175,0,0.88
6.2,46.2,0,0.94
6.2,46.225,0,1.05
6.2,46.25,0,0.86
6.2,46.275,0,0.47
6.2,46.3,0,0.47
6.2,46.325,0,1.05
6.2,46.35,0,0.86
6.2,46.375,0,0.86
6.2,46.4,0,0.86
6.2,46.425,0,0.86
6.2,46.45,0,0.86
6.2,46.475,0,1.11
6.2,46.5,0,0.96
6.2,46.525,0,0.96
6.2,46.55,0,0.96
6.2,46.575,0,0.86
6.2,46.6,0,0.96
6.2,46.625,0,0.96
6.2,46.65,0,0.96
6.2,46.675,0,0.96
6.2,46.7,0,0.96
